TSID,peer,parent,self,teacher
1082203012,27,23,21,24
1082203022,24,23,24,26
1082203031,12,25,25,26
1082203041,21,19,28,22
1082203052,28,16,27,21
1082203062,22,30,31,25
1082203071,22,28,19,22
1082203081,14,21,22,22
1082203092,7,21,25,19
1082203101,22,29,27,28
1082206012,22,25,21,21
1082206022,17,24,22,19
1082206031,25,24,23,15
1082206041,24,24,25,25
1082206052,28,17,20,25
1082206062,22,23,29,22
1082206071,17,22,28,15
1082206081,23,25,25,18
1082206092,28,13,15,24
1082206101,18,22,25,23
1082243012,21,17,20,24
1082243022,30,23,26,28
1082243031,28,22,23,20
1082243041,24,27,30,24
1082243052,26,23,26,26
1082243062,27,5,27,23
1082243071,30,20,23,29
1082243081,24,19,18,22
1082243092,29,19,29,20
1082243101,22,27,30,16
1082246012,23,23,22,19
1082246022,21,23,25,19
1082246031,26,16,16,19
1082246041,25,21,21,19
1082246052,21,17,18,22
1082246062,26,21,18,26
1082246071,28,29,24,17
1082246081,24,25,22,24
1082246092,28,27,27,23
1082246101,27,15,16,17
1091213012,30,29,29,30
1091213022,27,24,25,26
1091213031,28,28,25,28
1091213041,27,21,21,26
1091213052,26,29,20,31
1091213062,15,25,24,23
1091213071,31,28,26,30
1091213081,22,20,21,23
1091213092,20,21,25,28
1091213101,23,20,19,23
1091216012,19,25,26,29
1091216022,22,21,24,26
1091216031,22,23,24,24
1091216041,30,26,27,29
1091216052,28,27,27,29
1091216062,29,29,30,30
1091216071,31,29,29,31
1091216081,24,28,27,17
1091216092,29,24,24,29
1091216101,13,21,22,22
1091253012,7,26,28,20
1091253022,22,20,19,21
1091253031,22,19,16,24
1091253041,22,14,15,19
1091253052,16,23,25,7
1091253062,16,29,20,10
1091253071,18,29,24,10
1091253081,14,16,15,11
1091253092,29,21,22,28
1091253101,14,17,17,7
1091256012,12,18,24,8
1091256022,25,24,24,20
1091256031,17,14,23,9
1091256041,22,24,24,15
1091256052,20,20,17,19
1091256062,22,30,28,28
1091256071,26,26,25,27
1091256081,21,19,24,20
1091256092,25,29,27,25
1091256101,9,26,30,16
1092303012,22,22,22,24
1092303022,25,28,26,28
1092303031,14,25,18,21
1092303041,25,20,19,21
1092303052,27,30,24,27
1092303062,25,24,23,26
1092303071,12,20,23,23
1092303081,26,12,13,15
1092303092,24,31,25,24
1092303101,18,24,25,27
1092306012,18,23,21,26
1092306022,21,32,29,21
1092306031,28,30,27,25
1092306041,15,26,18,26
1092306052,26,22,24,14
1092306062,20,30,30,26
1092306071,20,23,19,18
1092306081,27,29,27,20
1092306092,17,24,16,28
1092306101,22,22,24,11
1092373012,23,28,25,28
1092373022,18,25,20,29
1092373031,22,21,20,28
1092373041,14,27,24,20
1092373052,15,23,27,30
1092373062,19,22,24,21
1092373071,6,14,17,21
1092373081,15,20,25,24
1092373092,20,25,26,25
1092373101,27.5,22,25,27
1092376012,29,28,29,29
1092376022,30,8,9,21
1092376031,26,23,27,17
1092376041,22,25,28,5
1092376052,28,22,19,27
1092376062,28,21,28,29
1092376071,24,25,21,20
1092376081,25,25,26,22
1092376092,29,23,16,22
1092376101,24,23,24,13
1092433012,17,20,22,11
1092433022,15,24,20,21
1092433031,17,14,26,8
1092433041,9,22,24,11
1092433052,26,17,25,28
1092433062,27,23,22,22
1092433071,17,25,26,16
1092433081,13,27,15,14
1092433092,16,21,20,13
1092433101,20,27,28,22
1092436012,9,28,24,11
1092436022,18,26,26,12
1092436031,20,30,31,14
1092436041,15,24,21,7
1092436052,28,26,26,8
1092436062,26,26,24,6
1092436071,23,24,23,18
1092436081,19,20,24,8
1092436092,17,21,21,15
1092436101,29,17,21,12
1101413012,23,21,27,27
1101413022,18,21,27,20
1101413031,28,18,28,29
1101413041,25,28,24,26
1101413052,19,21,30,22
1101413062,30,19,22,29
1101413071,21,26,30,29
1101413081,27,29,25,27
1101413092,28,26,21,22
1101413101,17,26,26,25
1101416012,32,25,28,27
1101416022,29,25,19,21
1101416031,27,23,29,12
1101416041,14,17,14,12
1101416052,25,14,28,16
1101416062,25,25,28,13
1101416071,20,19,12,20
1101416081,30,29,29,11
1101416092,16,15,20,17
1101416101,22,22,32,20
1101443012,28,23,28,29
1101443022,24,25,22,27
1101443031,20,23,24,27
1101443041,11,19,21,17
1101443052,27,19,20,29
1101443062,19,21,29,21
1101443071,19,23,16,27
1101443081,24,14,23,13
1101443092,8,27,22,16
1101443101,25,21,21,30
1101446012,25,17,22,17
1101446022,29,25,24,18
1101446031,20,27,27,13
1101446041,21,25,30,24
1101446052,17,22,15,7
1101446062,16,21,19,22
1101446071,13,20,22,9
1101446081,13,23,18,12
1101446092,18,22,20,20
1101446101,30,20,28,24
1102313012,10,27,23,29
1102313022,25,17,6,22
1102313031,22,23,24,29
1102313041,24,22,22,17
1102313052,18,28.5,12,26
1102313062,21,17,14,27
1102313071,21,26,27,18
1102313081,16,21,24,24
1102313092,24,24,25,20
1102313101,14,24,18,19
1102316012,19,24,29,18
1102316022,26,27,28,20
1102316031,24,19.5,31,24
1102316041,24,23,23,30
1102316052,23,21,20,19
1102316062,28,25,20,18
1102316071,26,26,26,26
1102316081,25,31,7,27
1102316092,12,23,23,18
1102316101,19,30,28,26
1102323012,17,18,24,21
1102323022,18,23,26,25
1102323031,26,16,20,17
1102323041,11,26,29,23
1102323052,25,27,20,21
1102323062,21,28,21,24
1102323071,29,31,28,30
1102323081,22,29,28,27
1102323092,20,17,17,22
1102323101,26,29,22,27
1102326012,24,21,20,24
1102326022,27,23,17,14
1102326031,16,28,24,21
1102326041,21,24,19,28
1102326052,17,25,27,28
1102326062,21,25,16,29
1102326071,14,23,22,30
1102326081,11,23,27,9
1102326092,6,24,26,20
1102326101,10,24,28,20
1102453012,12,24,28,32
1102453022,21,26,15,23
1102453031,11,28,23,22
1102453041,15,23,20,16
1102453052,11,22,24,25
1102453062,21,23,21,17
1102453071,14,17,26,15
1102453081,24,17,28,32
1102453092,20,26,15,14
1102453101,29,22,24,14
1102456012,14,28,21,26
1102456022,12,24,25,22
1102456031,26,16,19,23
1102456041,26,26,26,19
1102456052,13,19,16,18
1102456062,22,23,23,27
1102456071,17,24,28,15
1102456081,13,18,27,20
1102456092,5,24,21,22
1102456101,13,22,19,13
2011013012,27,25,24,27
2011013022,23.5,22,26,21
2011013031,11,21.5,16,13
2011013041,27,30,29,28
2011013052,22,24,26,25
2011013062,23,25,29,25
2011013071,23,30,28,30
2011013081,10.5,16,28,25
2011013092,22,26,29,24
2011013101,23,23.5,25.5,20
2011016012,31,26,25,23
2011016022,19,31,29,25
2011016031,12,24,24,26
2011016041,31,23,26,24
2011016052,30,21,23,17
2011016062,23,29,31,24
2011016071,31,32,32,17
2011016081,23,22,25,28
2011016092,27,25,24,25
2011016101,21,21,27,16
2011023012,17,29,29,26
2011023022,26,19,24,22
2011023031,18,17.5,25.5,7
2011023041,15,27,26,8
2011023052,12.5,21,29,7
2011023062,28,24,29,27
2011023071,29,19,22,15
2011023081,23,22,23,6
2011023092,15,19,27,6
2011023101,26,20,24.5,13
2011026012,30,25,23,27
2011026022,26,28,29,30
2011026031,20,22,22,21
2011026041,17,22,28,22
2011026052,20,20,23,16
2011026062,19,24,26,26
2011026071,9,24,27,15
2011026081,5,9,15,11
2011026092,20,24,19,18
2011026101,8,17,18,14
2011033012,24,24,24,28
2011033022,28,23.5,22,24
2011033031,13.5,21,21,19
2011033041,27,24,23.5,25
2011033052,30,20,29,27
2011033062,30,24,30,30.5
2011033071,10,27,25,20
2011033081,18.5,12,24,18
2011033092,28,26,25,29
2011033101,27.5,26,25.5,30
2011036012,17,26,25,27
2011036022,14,21,22,17
2011036031,21,22,22,8
2011036041,5,21,22,14
2011036052,26,25,25,29
2011036062,20,21,23,13
2011036071,18,25,27,25
2011036081,22,26,23,21
2011036092,24,27,22,27
2011036101,21,23,24,15
2011043012,6,15,25,3
2011043022,27,26,25,20
2011043031,29,13,17,20
2011043041,12,16,13,13
2011043052,18,19,22,12
2011043062,28,28,28,25
